title,date,link,desc
"SUPERB Presents: Campus MovieFest, Oct 16-23",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=70865&date=2013-10-18,"Campus MovieFest, the world's LARGEST student film festival, is returning to The University of California, Berkeley for the NINTH year in a row!!<br />
<br />
CMF will give you everything you need to make your own 5-minute short film in 7 days, including:<br />
- Panasonic HD camera<br />
- Apple Macbook Pro<br />
- Adobe CS6 Editing Software<br />
- Microphone, Tripod<br />
- Technical Support & Training<br />
<br />
All. For. FREE.<br />
<br />
That's right! Campus MovieFest is FREE AND OPEN to all UCB students with valid school ID. <br />
<br />
The top 16 films will be showcased at UCB's Red Carpet Finale, with the best films moving on to our national event, CMF Hollywood in Los Angeles, CA in June 2014 to compete for $30,000 in cash prizes, professional gigs, industry exposure, and more!<br />
<br />
DETAILS<br />
LAUNCH: October 16th, 2013 - 12pm - 5pm - TBA<br />
COLLECTION: October 23rd, 2013 - 2pm - 6pm - TBA<br />
FINALE: November 1st, 2013 - 7:30pm - Wheeler Auditorium<br />
<br />
Facebook event: https://www.facebook.com/events/338255572978761"
"SUPERB Presents: This Is the End, Oct 18",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=70997&date=2013-10-18,"Nothing ruins a party like the end of the world in this apocalyptic comedy.<br />
<br />
This Is the End // Wheeler Auditorium<br />
Friday, October 18th<br />
7:00 pm & 9:00 pm<br />
$3 with Cal ID // $5 General Admission <br />
<br />
Ticket sales begin 30 minutes before showtime. Movie starts right at the listed time."
"Dawn of the Computer Age, thru Feb 15, 2014",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=71148&date=2013-10-18,"In March of 1953 there were 53 kilobytes of high-speed random-access memory on planet Earth. As of 2013, you can put 64 gb of memory in your pocket for $399. <br />
<br />
George Dysons Turings Cathedral tells part of the story of the sixty years between these two milestones, and is also the focus of this years On the Same Page program, which gives the UC Berkeley campus community something to talk about. The program theme is The Dawn of the Computer Age, which refers both to the time period in which the ENIAC and MANIAC computers were created and also to our own day and age, when progress in technology is occurring so fast that we are only beginning to see and understand the repercussions of the computer age. Check the On the Same Page web site (http://onthesamepage.berkeley.edu ) for details on the many opportunities for participating in this campus-wide discussion, both online and in person.<br />
<br />
The new exhibit at Moffitt Library celebrates the Dawn of the Computer Age and features copies of two of Alan Turings most influential journal articles, a Tiny Turing Machine, images of early computing machines, a live view of the campus Turing Test Tournament, a video of Professor Christos Papadimitriou of the Computer Science department explaining the significance of Turings work, and a brief history of personal computer hardware (PDP-8, anyone?)."
"Filipino Empowerment Day (FED) SHADOW Weekend Welcome, Oct 18-20",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=71477&date=2013-10-18,"Filipino Empowerment Day SHADOW Weekend is a three day, two night trip to UC Berkeley offered to underprivileged high school students from Northern California. During the weekend students will experience campus life, attend academic and cultural workshops and will be provided with assistance in applying to college. Friday's event will be the kickstart to the weekend and welcome the students to Berkeley."
"The Amazing Walk 2:6-Week Wellness Adventure Around the World (BEUHS639), thru Nov 15",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68595&date=2013-10-18,"The Amazing Walk is back! In a spin off the television game-show, the Amazing Race, this program will send teams of 2 people on a 6-week virtual wellness adventure around the world. In addition to weekly wellness challenges, friendly competition and fun prizes, the Amazing Walk 2 will feature more interactive team activities including a kick-off event, weekly fitness walking classes, walking group incentives and an Amazing Walk healthy potluck. Grab a teammate and sign up today!"
"How to Negotiate Out of the Government Shutdown: Advice from Two Former Governors, Oct 18",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=71193&date=2013-10-18,"Come hear how Richardson was able to sweet talk and negotiate with some of the most high-stakes ""sharks"" of the last decade. Richardson will share his stories and insights on the art of negotiation with Granholm, now distinguished practitioner of law and public policy at the Goldman School at UC Berkeley. Here is a chance to also get a unique perspective on the current impasse in Washington as well as foreign policy challenges confronting the U.S."
"Center for Global Public Health Annual Symposium 2013, Oct 18",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68017&date=2013-10-18,"The Future of Global Healthy Food: From Science to Policy<br />
<br />
Join us for the Center of Global Public Health's Annual Symposium featuring Prof. Marion Nestle on Friday October 18 from 8:30 am- 5 pm at the Banatao Auditorium in Sutardja Dai Hall followed by a reception. Prof. Nestle is a Paulette Goddard Professor in the Department of Nutrition, Food Studies and Public Health at New York University and author of Food Politics: How the Food Industry Influences Nutrition and Health. <br />
<br />
Register at: <br />
<br />
https://docs.google.com/forms/d/1ymRr6TK2Rtu3meW7wq57H3lUQdp0QPXWlRmDyTn8yHw/viewform"
"Imaginations: Paintings by Bill A. Dallas, thru Jan 3, 2014",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69478&date=2013-10-18,"Artist Bill A. Dallas was born in Kansas City, Missouri and grew up surrounded by great music, the famous Kansas City blues and jazz. Music had a profound effect on him as a young man, but he discovered his true talent in painting after his move to Berkeley, California in 1963. He earned a BFA from UC Berkeley in 1974.<br />
<br />
Currently living and painting in Oakland, Dallas is a versatile painter who incorporates calligraphy, figure studies and abstract painting into his work. A traveler whenever possible, Dallas has visited more than 25 countries. During his travels to Japan he studied calligraphy, woodblock printing, handmade paper and Sumi ink brush painting with master artist Toshi Yoshida. Yet, music remains an important part of his practice and he paints almost exclusively while listening to jazz. His two-handed, brushless style of painting is unique; he calls his style artmatism. The divine principle of true artmatism painting is to be in a constant state of enlightenment, states Dallas. Freedom first, then comes enlightenment, and with that enlightenment you understand division and separation of the imaginations. <br />
<br />
Dallas has exhibited throughout the Bay Area and the United States. His work is found in private collections throughout the world, including Australia, Brazil, Denmark, Germany, Japan, and South Africa. He was recently included in The Kinsey Collection: Shared Treasures of Bernard and Shirley Kinsey, an exhibition at San Franciscos Museum of the African Diaspora."
"Innovative Leaders Speaker Series, Oct 18-25",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=71044&date=2013-10-18,"In this two-day hands-on workshop, Part 2 and 3 of the Grant Writing for Public Health Professionals Series, participants will learn a 14-step process for writing grant proposals. Time will be spent in class working on each stage of the process from research, planning, and drafting, to editing. Participants will work collaboratively to draft key narrative sections of the proposal, practice writing strategically and effectively, and learn editing strategies for piecing the narrative sections together. Class size is limited to 25 attendees, which maximizes instructor/student interaction."
"Unreal Estate: Tong Lams Photographs of Chinas Unsettling Settlements, thru Nov 6",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69382&date=2013-10-18,"From the Soviet era to today; from the Mongol frontier to modern Guangzhou, Tong Lam documents what society has built and abandoned. The stories behind these photographs tell of hope, ambition, greed, resistance, and visions that have been crushed or cast aside. Some stories are of gleaming structures hauntingly unpeopled; some stories are of teeming populations surviving amid the squalor of urban ruins. With the frenzy of Chinas economic growth has come accelerated decay, leaving city and country alike scarred by the relics of past dreams."
"Berkeley Graduate Conference in the History of British Political Thought, Oct 18",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=70965&date=2013-10-18,"October 18: 9am-6pm 370 Dwinelle Hall<br />
October 19: 9am-5.30pm 223 Moses Hall <br />
<br />
The conference shall feature work across the disciplines of history, English literature, philosophy, and political theory in the history of British political thought, and shall feature work from doctoral students at the Universities of Cambridge, Constance, Harvard, Hebrew University-Jerusalem, Helsinki, London, Oxford, Stanford, UC-Berkeley, UC-Irvine, and Yale.<br />
<br />
Graduate student papers will receive commentary from members of the Berkeley faculty including Professors Mark Bevir, Kinch Hoekstra, Victoria Kahn, Joseph Lavery, Daniel Sargent, Ethan Shagan, Shannon Stimson, and James Vernon.<br />
The conference is open to the public and all are welcome to attend."
"Mummies: Secrets of the Pharaohs 3-D Film, thru Jan 5, 2014",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=67757&date=2013-10-18,"Part historic journey and part forensic adventure, Mummies: Secrets of the Pharaohs follows researchers and explorers as they piece together the archaeological and genetic clues of Egyptian mummies. The film tells the story of one of the greatest archeological finds in history and current research which may advance modern medicine."
"Comics, Cartoons, and Funny Papers, thru Feb 28, 2014",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68200&date=2013-10-18,"Phil Franks long-running cartoon strips ""Travels with Farley"" and ""Farley"" have recently joined the drawings of Rube Goldberg, one of UC Berkeleys best-known alumni, and Gus Arriola, creator of the ever-popular ""Gordo"" strip, at The Bancroft Library. In addition to the work of these cartoonists, the exhibit will feature comics by underground artist Dan ONeill, creator of ""Odd Bodkins,"" and Lou Grant, editorial cartoonist for the Oakland Tribune from 1954 to 1986. The show will highlight both the topical and the timeless nature of the cartoon, one of the oldest forms of visual art known to mankind."
"Foods of the Americas Exhibit, Oct 2-18",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68547&date=2013-10-18,"From chocolate to quinoa, discover the cornucopia of food crops that originated in the Americas thousands of years ago.<br />
<br />
Free with Garden Admission!"
"Wildlife Rescue, thru Jan 5, 2014",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69236&date=2013-10-18,Animals and habitats all over the Earth are endangered. Get to know some of these species by joining them and the scientists working for their protection on a survival journeyfrom the recovery center and back into the wild.
"Unbuilt San Francisco: Ambition and Imagination, thru Nov 8",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=69692&date=2013-10-18,"In many ways, the purest and most potent buildings are the ones that never came to pass: the concept that shows the desire of the moment and, in turn, shines a light on the culture in which it was born. That's the moment being explored from a variety of perspectives in Unbuilt San Francisco: Ambition and Imagination. <br />
<br />
At its most basic, the exhibition is a vivid history lesson, showing viewers the shadow city and phantom skyline that never came to be, for better and for worse. In the process, we explore why a building does not take brick-and-mortar form, from economic hubris to community resistance, and how an unrealized structure can shape what follows. One of the most fascinating designs in the show is a 1969 plan to fill the Sutro Bath ruins with condominiums -- exactly the sort of proposal that spurred the ""green"" activism of the era and helped spawn the Golden Gate National Recreation Area. <br />
<br />
Co-curated by design critic John King and EDA Curator Waverly Lowell, the exhibition is also intended to engage the students who will make up an important part of the visitors to the gallery. A section on ""First Takes"" explores the early incarnations of buildings that do exist, a way of exploring the passage from ideal to incarnation. ""Rhetorical Unbuilt"" looks at the other extreme of architecture -- plans meant to put new ideas before the public, stir debate and prod us to consider other ways of living in an age that faces environmental and societal pressures we could not have considered a century ago."
"The Reading Room, thru Dec 31, 2014",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=49710&date=2013-10-18,"The Reading Room celebrates the written word and the central part it plays in our lives. Books from several noted East Bay small presses are shelved side by side with cherished books left by visitors. Drop by to browse and view related artworks. Bring a favorite book to leave in exchange for one from the ever-changing collection. Read visitors notes on why they love the book they have contributed. Leave a note for someone else. On selected Fridays, The Reading Room becomes the site of RE@DS, our literary series dedicated to poetry and experimental fiction.<br />
<br />
Guided and inspired by arts writer and poet Ramsay Bell Breslin and poet and UC Berkeley Professor of English Lyn Hejinian, BAM/PFAs literary project invites visitors to look, listen, share, and read in The Reading Room."
"Rebar: Kaleidoscape, thru Dec 21",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=63967&date=2013-10-18,"We invite you to experience Kaleidoscape, our new interactive seating sculpture designed by the San Franciscobased firm Rebar. Come rearrange the modular pieces to create a customized environment for study, relaxation, or socializing, or use the sections to create a crystalline landscape to be viewed from the upper galleries."
"Gazing into Nature, thru Oct 20",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=67215&date=2013-10-18,"We are delighted to present, for the first time in ten years, a selection of BAM/PFAs earliest Chinese paintings. These rare and amazingly well-preserved works by early landscape and bird-and-flower painters of the late Song and early Yuan periods (thirteenth and fourteenth centuries), rendered on silk or paper with ink and light color, demonstrate the sophistication and accomplishment of the early Chinese painting tradition.<br />
<br />
Early Chinese painters often depicted the natural world through a lens of gentle mists created by delicate brushwork. Whether capturing a refined corner of the universe, as in Ma Yuans thirteenth-century Plum Tree and Ducks by a Stream, or a single twisted branch of a grapevine, as in Wen Riguans thirteenth-century Grapes, it is the artists control of ink, wash, and line that brings the subject to life. Equally compelling is the anonymous Fish and Water Plants from the fifteenth century, which depicts a powerful carp rising through a bed of delicately rendered vegetation; the very light touches of color in this work add a pleasing naturalism to the scene.<br />
<br />
Landscape painters, too, conveyed the beauty and grandeur of the natural world. Their interpretations were not intended to be of specific places rendered in realistic terms, but rather idealized landscapes of retreat and reclusion. The tall trees of Guo Mins Fir and Pines in the Snow (thirteenth century) form a protective circle around a figure pictured in a hut at the base of a fantastic and turbulent mountain. The artist concedes that man is but a small part of a much grander universe. Similarly, River Landscape, attributed to Ma Wan (1325-1365), suggests the glory of the natural world with a remote view that allows the viewer to survey the landscape of mountains, trees, and streams.<br />
<br />
This fall at BAM/PFA, you have a wonderful opportunity to see how the rich painting tradition established by these early artists, especially the careful observation of the natural world, continues to inform and inspire with the exhibition Yang Fudong: Estranged Paradise.<br />
<br />
<br />
Gazing into Nature is organized by Senior Curator for Asian Art Julia M. White."
"Deities, Demons, and Teachers of Tibet, Nepal, and India, thru Apr 13, 2014",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=67216&date=2013-10-18,"Joyful and sensual sculptural figures of Indian deities and dancers join radiant images of enlightened beings from Tibet and Nepal in Deities, Demons, and Teachers, which presents a rotating display of works by anonymous Indian, Nepalese, and Tibetan artisans. A tenth-century sandstone figure of Ganesha, the elephant-headed deity worshipped by Hindus, Jains, and Buddhists, graces the entrance to the exhibition, a site appropriate to Ganeshas role in removing obstacles and blessing any new endeavor. Whether viewed as a cosmic dancer or a cavorting adolescent, this image of Ganesha is confirmation of the wonder and delight to be found in the sculpture and painting of these ancient cultures.<br />
<br />
Hindus and Buddhists both revere and celebrate female deities and often depict goddesses in idealized form with exaggerated marks of beauty. In Dancing Devi, a twelfth-century buff-sandstone sculpture from central India, the beauty of the bejeweled and crowned figure is accentuated by the larger-than-life proportions of breasts and buttocks. A more reserved but no less beautifully idealized feminine form is seen in Tara, a seventeenth-century Nepalese bronze, where the figure is surrounded by a fanciful garden of birds, musicians, and garlands.<br />
<br />
Very early images of the Buddha are rare, so it is quite exceptional that in addition to the massive bronze fourteenth-century Tibetan Buddha in the center of the gallery, this exhibition also features a stone image of a third-century seated Buddha from the Swat Valley and a tenth- or eleventh-century bronze Standing Buddha from Western Tibet. An array of bodhisattvas and attendant deities from these regions, including a painting of the Thirteenth Karmapa (at left), believed to be a reincarnation of the Bodhisattva Avalokitesvara, fill out the gathered celestial realm of the Buddhist cosmology.<br />
<br />
<br />
Deities, Demons, and Teachers is organized by Senior Curator for Asian Art<br />
Julia M. White."
"Beauty Revealed, thru Dec 22",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=67219&date=2013-10-18,"Beauty Revealed: Images of Women in Qing Dynasty Chinese Painting investigates a relatively unexamined area of Chinese art history: meiren (beautiful women) paintings from the seventeenth and eighteenth centuries. This exhibition is the first to bring together a broad selection of paintings in this genre, and includes work from public and private collections in the United States and Europe, as well as from the BAM/PFA collection. Organized by Senior Curator for Asian Art Julia M. White in collaboration with UC Berkeley Professor Emeritus James Cahill, one of the world's leading scholars of Chinese painting, the exhibition is accompanied by a catalog with essays by Cahill, White, Sarah Handler, and Chen Fongfong with a contribution by Nancy Berliner."
"Linda Stark / Matrix 250, Oct 18-Dec 22",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68213&date=2013-10-18,"Matrix 250 features the work of Los Angelesbased artist Linda stark (b.1956), who has been making figurative and abstract paintings with heavily built-up surfaces of paint since the late 1980s. This presentation showcases approximately fifteen paintings made by the artist over the last two decades, highlighting her more recent series of adornment and branded paintings, which conflate the surface textures of the painting with various aspects of the female body, primarily flesh. The artist drips and meticulously builds layers of thick oil paint in her modestly scaled works, the largest of which measure three feet square and the smallest seven inches square. She engages with the physical aspects of paint, repeatedly turning the canvas on its side to build up a dense network of layers, which sometimes appear more sculptural than painterly.<br />
<br />
Stark frequently spends several years working on her luscious surfaces, underscoring the temporal and material properties of oil paint.<br />
<br />
Inspired by transcendent, universal themes, as well as common utilitarian patterns, stark has created a distinctive body of work organized around central motifs: spirals, rotations, weave patterns, fountains, flames, crosses, flesh, animals, and water. The female body, shown in abstracted close-ups, has been a particular focus of her oeuvre, as witnessed in diverse representations of female genitalia and other fragmented body parts (belly buttons, hair, nipples, tattoos, etc.). Yet for all her attention to the surface of the painting, what inevitably manifests is a deeply felt interest in human psychology and spiritual, or even supernatural, subjects. stark filters these concerns through a playful pop aesthetic, often producing a cheerful yet disturbing affect."
"Yang Fudong, thru Dec 8",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68529&date=2013-10-18,"This first midcareer survey of the work of Yang Fudong (b. 1971) presents films, multichannel videos, and photographs by a leading figure in Chinas contemporary art world and independent cinema movement.<br />
<br />
Yangs work reflects the ideals and anxieties of the generation born during and after the Cultural Revolution that is struggling to find its place in the rapidly changing society of the new China. Although he draws much of his subject matter from the consumerist contexts of contemporary urban China, many of his images recall the literati paintings of seventeenth-century China (Yang first trained in painting before switching to photography and filmmaking). His films and film installations have an atemporal and dreamlike quality, marked by long and suspended sequences, dividing narratives, and multiple relationships and storylines. In his recent installations, Yang reflects on the process of filmmaking itself, creating spatially open-ended multichannel films that he calls a contemporary form of the Chinese hand scroll.<br />
<br />
Our presentation of Yangs work includes twenty years of photographs and video and film installations in the galleries; a film series at the PFA Theater co-curated by the artist that focuses on works that have influenced him, ranging from the Golden Age of Chinese cinema of the 1930s and 1940s to the Fifth Generation filmmakers who rose to prominence in the 1980s; and a continuous loop of Yangs single-channel films daily at midday in the Museum Theater. <br />
<br />
Yang Fudong: Estranged Paradise, Works 19932013 is organized by BAM/PFA Adjunct Senior Curator Philippe Pirotte and presented by BAM/PFA and the Kunsthalle Zrich. The exhibition is made possible in part by an anonymous donor;<br />
Marian Goodman Gallery; ShanghART Gallery; Dr. Rosalyn M. Laudati and Dr. James Pick; the Sifang Art Museum, Nanjing; the W.L.S. Spencer Foundation; Rena Bransten; Nion McEvoy; and April and Glenn Bucksbaum."
"Linda Stark / MATRIX 250, Oct 18-Dec 22",2013-10-18,http://events.berkeley.edu/index.php/calendar/sn/pubaff.html?event_ID=68790&date=2013-10-18,"MATRIX 250 features the work of Los Angelesbased artist Linda Stark (b. 1956), who has been making figurative and abstract paintings with heavily built-up surfaces of paint since the late 1980s. This presentation showcases approximately fifteen paintings made by the artist over the last two decades, highlighting her more recent series of adornment and branded paintings, which conflate the surface textures of the painting with various aspects of the female body, primarily flesh. The artist drips and meticulously builds layers of thick oil paint in her modestly scaled works, the largest of which measure three feet square and the smallest seven inches square. She engages with the physical aspects of paint, repeatedly turning the canvas on its side to build up a dense network of layers, which sometimes appear more sculptural than painterly. Stark frequently spends several years working on her luscious surfaces, underscoring the temporal and material properties of oil paint.<br />
<br />
Inspired by transcendent, universal themes, as well as common utilitarian patterns, Stark has created a distinctive body of work organized around central motifs: spirals, rotations, weave patterns, fountains, flames, crosses, flesh, animals, and water. The female body, shown in abstracted close-ups, has been a particular focus of her oeuvre, as witnessed in diverse representations of female genitalia and other fragmented body parts (belly buttons, hair, nipples, tattoos, etc.). Yet for all her attention to the surface of the painting, what inevitably manifests is a deeply felt interest in human psychology and spiritual, or even supernatural, subjects. Stark filters these concerns through a playful pop aesthetic, often producing a cheerful yet disturbing affect.<br />
<br />
<br />
Linda Stark / MATRIX 250 is organized by Apsara DiQuinzio, curator of modern and contemporary art and Phyllis C. Wattis MATRIX Curator. The MATRIX Program is made possible by a generous endowment gift from Phyllis C. Wattis and the continued support of the BAM/PFA Trustees."
